Date,Competition,,,Score,,
17/06/2020,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 0","/img/teams/sheff-u.png","Sheffield Utd"
21/06/2020,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/chelsea.png",Chelsea
24/06/2020,"Premier League","/img/teams/newcastle.png",Newcastle,"1 - 1","/img/teams/avfc.png","Aston Villa"
27/06/2020,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 1","/img/teams/wolves.png",Wolves
04/07/2020,"Premier League","/img/teams/liverpool.png",Liverpool,"2 - 0","/img/teams/avfc.png","Aston Villa"
08/07/2020,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 3","/img/teams/man-u.png","Man. Utd"
11/07/2020,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/crystal-pal.png","Crystal Palace"
15/07/2020,"Premier League","/img/teams/everton.png",Everton,"1 - 1","/img/teams/avfc.png","Aston Villa"
18/07/2020,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/arsenal.png",Arsenal
26/07/2020,"Premier League","/img/teams/west-ham.png","West Ham","1 - 1","/img/teams/avfc.png","Aston Villa"
