Date,Competition,,,Score,,
10/03/2024,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 4","/img/teams/spurs.png","Tottenham"
14/03/2024,"Europa Conference","/img/teams/avfc.png","Aston Villa","4 - 0","/img/teams/ajax.png","Ajax"
17/03/2024,"Premier League","/img/teams/west-ham.png","West Ham","1 - 1","/img/teams/avfc.png","Aston Villa"
30/03/2024,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/wolves.png","Wolves"
03/04/2024,"Premier League","/img/teams/man-c.png","Man. City","4 - 1","/img/teams/avfc.png","Aston Villa"
06/04/2024,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 3","/img/teams/brentford.png","Brentford"
11/04/2024,"Europa Conference","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/lille.png","Lille"
14/04/2024,"Premier League","/img/teams/arsenal.png","Arsenal","0 - 2","/img/teams/avfc.png","Aston Villa"
18/04/2024,"Europa Conference","/img/teams/lille.png","Lille","2 - 1 *","/img/teams/avfc.png","Aston Villa"
21/04/2024,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 1","/img/teams/bournemouth.png","Bournemouth"
27/04/2024,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 2","/img/teams/chelsea.png","Chelsea"
02/05/2024,"Europa Conference","/img/teams/avfc.png","Aston Villa","2 - 4","/img/teams/olympiacos.png","Olympiacos"
05/05/2024,"Premier League","/img/teams/brighton.png","Brighton","1 - 0","/img/teams/avfc.png","Aston Villa"
09/05/2024,"Europa Conference","/img/teams/olympiacos.png","Olympiacos","2 - 0","/img/teams/avfc.png","Aston Villa"
13/05/2024,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 3","/img/teams/liverpool.png","Liverpool"
19/05/2024,"Premier League","/img/teams/crystal-pal.png","Crystal Palace","5 - 0","/img/teams/avfc.png","Aston Villa"



