Date,Competition,,,Score,,
26/12/2024,Premier League,"/img/teams/newcastle.png","Newcastle","-","/img/teams/avfc.png","Aston Villa"
30/12/2024,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/brighton.png","Brighton"
04/01/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/leicester.png","Leicester"
10/01/2025,FA Cup,"/img/teams/avfc.png","Aston Villa","-","/img/teams/west-ham.png","West Ham"
15/01/2025,Premier League,"/img/teams/everton.png","Everton","-","/img/teams/avfc.png","Aston Villa"
18/01/2025,Premier League,"/img/teams/arsenal.png","Arsenal","-","/img/teams/avfc.png","Aston Villa"
21/01/2025,Champions League,"/img/teams/monaco.png","Monaco","-","/img/teams/avfc.png","Aston Villa"
26/01/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/west-ham.png","West Ham"
29/01/2025,Champions League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/celtic.png","Celtic"
01/02/2025,Premier League,"/img/teams/wolves.png","Wolves","-","/img/teams/avfc.png","Aston Villa"
15/02/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/ipswich.png","Ipswich"
22/02/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/chelsea.png","Chelsea"
25/02/2025,Premier League,"/img/teams/crystal-pal.png","Crystal Palace","-","/img/teams/avfc.png","Aston Villa"
08/03/2025,Premier League,"/img/teams/brentford.png","Brentford","-","/img/teams/avfc.png","Aston Villa"
15/03/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/liverpool.png","Liverpool"
01/04/2025,Premier League,"/img/teams/brighton.png","Brighton","-","/img/teams/avfc.png","Aston Villa"
05/04/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/nottm-f.png","Nottm Forest"
12/04/2025,Premier League,"/img/teams/southampton.png","Southampton","-","/img/teams/avfc.png","Aston Villa"
19/04/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/newcastle.png","Newcastle"
26/04/2025,Premier League,"/img/teams/man-c.png","Man. City","-","/img/teams/avfc.png","Aston Villa"
03/05/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/fulham.png","Fulham"
10/05/2025,Premier League,"/img/teams/bournemouth.png","Bournemouth","-","/img/teams/avfc.png","Aston Villa"
18/05/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/spurs.png","Tottenham"
12/04/2025,Premier League,"/img/teams/man-u.png","Man. Utd","-","/img/teams/avfc.png","Aston Villa"
